article_id,title,lunar_date,text_kor,text_han
kha_10109024_003,병조·도총부에 명하여 앞으로는 감군하는 자는 패를 받도록 하다,1469-09-24L0,"병조(兵曹)·도총부(都摠府)에 명하여, 앞으로는 감군(監軍)하는 자는 패(牌)를 받도록 하였다.","○命兵曹、都摠府, 自今監軍者受牌。 "
kha_10110004_001,천둥이 치다,1469-10-04L0,천둥하였다.,○甲寅/雷。 
kha_10009008_001,혜성이 나타나다,1468-09-08L0,혜성(彗星)이 나타났다.,○甲子/彗見。 
kha_10009007_007,예조에서 즉위 하례를 외방에서 듣는 순서대로 전을 올리게 할 것을 아뢰다,1468-09-07L0,"예조(禮曹)에서 아뢰기를, ""즉위(卽位)의 하례를 외방(外方)에서 듣는 선후(先後)에 따라 전(箋)을 올리게 하소서."" 하니, 그대로 따랐다.","○禮曹啓: ""卽位稱賀, 外方隨所聞先後進箋。"" 從之。 "
kha_10009016_001,혜성이 나타나다,1468-09-16L0,혜성이 나타났다.,○壬申/彗見。 
kha_10010009_001,소훈 윤씨가 빈전에 진향하다,1468-10-09L0, 소훈(昭訓)  윤씨(尹氏) 가 빈전(殯殿)에 진향(進香)하였다.,"○乙未/<index num=""0368865_0"" ref=""M_0011010"" sort=""K"" type=""이름"">昭訓</index>               <index num=""0368866_0"" ref=""M_0011010"" sort=""K"" type=""이름"">尹氏</index>, 進香于殯殿。 "
kha_10011003_004,경복궁 후원과 응방에서 기르는 돼지는 해당 관사에 주어 기르게 하다,1468-11-03L0,"호조(戶曹)에 전지(傳旨)하기를, "" 경복궁(景福宮) 후원(後苑)과 응방(鷹坊)에서 기르는 돼지는 모조리 해당 관사(官司)에 주어서 기르도록 하라."" 하였다.","○傳于戶曹曰: ""<index num=""0370119_0"" sort=""K"" type=""지명"">景福宮</index>後苑及膺坊所畜猪, 竝授該司養之。"" "
kha_10011019_001,충익부에서 빈전에 향을 올리다,1468-11-19L0,충익부(忠翊府)에서 빈전(殯殿)에 향(香)을 올렸다.,○乙亥/忠翊府進香于殯殿。 
kha_10011020_001,영의정 이준에게 세조의 시책보를 받들어 종묘에 고하게 하다,1468-11-20L0,"임금이 영의정(領議政) 이준(李浚) 에게 명하여 세조(世祖) 의 시책보(諡冊寶)를 받들어 종묘(宗廟) 에 고(告)하게 하였다. 그 의주(儀注)는 이러하였다. ""청시(請諡)하기 전(前) 3일에 영의정(領議政) 이하의 행사(行事)하는 집사관(執事官)은 2일 동안을 산재(散齋) 222) 하여 정침(正寢)에서 묵고, 1일 동안을 치재(致齋) 223) 하여 본사(本司)에서 묵는다. 종친(宗親)과 문무 백관(文武百官)들은 전(前) 1일에 본사(本司)에서 재숙(齋宿) 224) 한다. 전(前) 2일에 공조 판서(工曹判書)는 책(冊)과 보(寶)를 각각 채여(綵輿)에 안치(安置)한다. 【책(冊)과 보(寶)는 모두 안(案)에 있다.】 대궐에 나아가면, 승지(承旨)가 전해 받들어 들어간다. 전(前) 1일에 전설사(典設司)에서 임시로 책보(冊寶)를 두는 악차(幄次)를 여차(廬次)의 문밖에 남향하여 설치하고, 【안(案)을 설치한다.】 전의(典儀)가 영의정(領議政)의 자리를 악차(幄次)의 남쪽으로 길 동쪽에 북향하여 설치하고, 독책관(讀冊官)·독보관(讀寶官)·봉책관(奉冊官)·봉보관(奉寶官)·거책안자(擧冊案者)·거보안자(擧寶案者)의 자리를 영의정(領議政)의 뒤에 남쪽 가까이 설치하되, 자리를 달리 하여 겹줄로 북향하고 동쪽을 위로 한다. 전의(典儀)의 자리를 영의정(領議政)의 동북쪽에 서향하여 설치하고, 전의(典儀)와 인의(引儀)는 남쪽에 있는데 조금 뒤로 물리게 한다. 또 전의(典儀)와 인의(引儀)의 자리를 영의정(領議政)의 서북쪽에 동향하여 설치하되, 모두 북쪽을 위로 한다. 전의(典儀)가 영의정(領議政) 이하의 문외위(門外位)를 중문(中門) 밖의 길 동쪽에 설치하되, 자리를 달리 하여 겹줄로 하고 서향하여 북쪽을 위로 한다. 집례(執禮)가 임시로 책보(冊寶)를 두는 안(案)을 종묘(宗廟) 의 서계(西階) 아래에 동향하여 설치하고, 영의정(領議政)의 자리를 조계(阼階)의 동남쪽에 서향하여 설치하고, 독책관(讀冊官)·독보관(讀寶官)·봉책관(奉冊官)·봉보관(奉寶官)·거책안자(擧冊案者)·거보안자(擧寶案者)의 자리를 영의정의 뒤에 남쪽 가까이 설치하되, 자리를 달리 하여 겹줄로 하고 서향하여 북쪽을 위로 한다. 집례(執禮)·알자(謁者)·찬자(贊者)·찬인(贊引)과 감찰(監察)·전사관(典祀官)·대축(大祝)·축사(祝史)·재랑(齋郞)·종묘령(宗廟令)·궁위령(宮闈令)의 자리를 설치하고, 종친(宗親)과 문무 백관(文武百官)의 자리를 설치하고, 예감(瘞坎)을 파고 망례위(望瘞位)를 설치하기를 모두 보통 때와 같이 한다. 충의위(忠義衛)에서 상복(常服) 차림으로써 향축(香祝)을 받들고 【친압(親押)한다.】 먼저 종묘(宗廟) 에 나아간다. 그날 종친(宗親)과 문무 백관(文武百官)들이 바로 종묘(宗廟) 에 나아가서 의복을 바꾸어 입는데, 평상복(平常服)에 흑각대(黑角帶) 차림이다. 영의정과 독책관(讀冊官)·독보관(讀寶官)·봉책관(奉冊官)·봉보관(奉寶官)·거안자(擧案者)는 평상복(平常服)에 흑각대(黑角帶) 차림으로 모두 조당(朝堂)으로 모인다. 예조 정랑(禮曹正郞)이 채여(綵輿) 2개를 중문(中門) 밖에 진열(陳列)하고, 병조 정랑(兵曹正郞)이 세장(細仗)을 채여(綵輿)의 남쪽에 진열(陳列)한다. 인의(引儀)가 영의정 이하의 관원을 인도하여 문밖 자리에 나아간다. 전의(典儀)가 인의(引儀)를 거느리고 먼저 들어가서 자리에 나아가고, 근시(近侍)와 충찬위(忠贊衛)가 합문(閤門) 밖에 나아가서 기다린다. 인의(引儀)가 영의정 이하의 관원을 인도하여 들어가서 자리에 나아간다. 내시(內侍)가 시책보(諡冊寶)를 받들고 합문(閤門) 밖으로 나가서 꿇어앉아 근시(近侍)에게 주면, 근시(近侍)가 나아가 꿇어앉아서 이를 받는다. 충찬위(忠贊衛)가 받들고서 【매 안(案)마다 2인이 마주 든다.】 근시(近侍) 앞에 나아가서 꿇어앉으면, 근시(近侍)가 책보(冊寶)를 각각 안(案)에 두고 일어나서 악차(幄次)에 나아가고, 충찬위(忠贊衛)가 각각 안(案)을 들고 이를 따른다. 근시(近侍)가 임시로 책보(冊寶)를 안(案)에 두고, 물러가서 동남쪽에 서향하여 선다. 【충찬위(忠贊衛)는 근시(近侍)의 뒤에 선다.】 전의(典儀)가 창(唱)하기를, ‘국궁(鞠躬)·사배(四拜)·흥(興)·평신(平身)하라.’ 하면, 영의정 이하의 관원이 국궁(鞠躬)하여 네 번 절하고 일어나서 몸을 그대로 편다. 인의(引儀)가 영의정을 인도하여 악차(幄次) 앞에 나아간다. 근시(近侍)가 시책함(諡冊函)을 취(取)하여 남향하여 꿇어앉아 영의정에게 주면 영의정이 나아가서 꿇어앉아 이를 받는다. 거책안자(擧冊案者) 2인이 마주서서 안(案)을 들고 영의정의 왼쪽에 나아가서 꿇어앉는다. 영의정이 시책함(諡冊函)을 안(案)에 두면, 거안자(擧案者)가 마주 들고 물러가서 조금 남쪽에서 동향하여 선다. 근시(近侍)가 시보록(諡寶盝)을 취(取)하여 영의정에게 주기를 위의 의식과 같이 한다. 이를 마치면, 영의정이 부복(俯伏)하였다가 일어나서 몸을 바로 편다. 인의(引儀)가 영의정을 인도하여 중도(中道)를 거쳐서 나오는데, 거책안자(擧冊案者)·거보안자(擧寶案者)가 앞장 서서 중문(中門)으로 나간다. 영의정이 책보(冊寶)를 각각 채여(綵輿)에 두면, 세장(細仗)이 앞에서 인도하기를 평상시와 같이 하여 종묘(宗廟) 에 나아간다. 봉책관(奉冊官)은 시책함(諡冊函)을 받들고, 봉보관(奉寶官)은 시보록(諡寶盝)을 받들고, 거책안자(擧冊案者)·거보안자(擧寶案者)가 각각 안(案)을 들고 따라 들어와서 책보(冊寶)를 임시로 두는 안(案)에 안치(安置)하고 【책(冊)은 북쪽에 있고, 보(寶)는 남쪽에 있다.】 임시로 물러나고, 궁위령(宮闈令)이 그 소속 관원을 거느리고 실(室)을 열어 신악(神幄)을 정리하여 털고 자리를 펴고 안석[几]을 설치하기를 평상시의 의식과 같이 한다. 종묘령(宗廟令)과 전사관(典祀官)이 각각 그 소속 관원을 거느리고 찬구(饌具)를 채운다. 【찬품(饌品)은 삭망제(朔望祭)와 같은데, 다만 생(牲)은 없고 폐백(幣帛)이 있는 것이 다르다.】 향로(香爐)와 향합(香合)을 설치하고, 축판(祝版)을 드리고, 준(尊)을 설치하고, 세(洗)를 설치하는 것을 모두 보통 때와 같이 한다. 전 2각(刻)에 집례(執禮)가 알자(謁者)·찬자(贊者)·찬인(贊引)을 거느리고, 동문(東門)으로부터 들어가서 먼저 계단 사이의 배위(拜位)에 나아가 북향하여 네 번 절하고, 이를 마치면 자리에 나아간다. 인의(引儀)가 종친(宗親)과 백관(百官)들을 나누어 인도하여 들어와서 자리에 나아가고, 알자(謁者)가 영의정 이하의 관원을 인도하여 모두 동문(東門) 밖의 자리에 나아간다. 전(前) 1각(刻)에 찬인(贊引)이 감찰(監察)·전사관(典祀官)·대축(大祝)·축사(祝史)·재랑(齋郞)·종묘령(宗廟令)·궁위령(宮闈令)을 나누어 인도하여 들어가서 계단 사이의 배위(拜位)에 나아가, 겹줄로 하여 북향하고 서쪽을 위로 한다. 집례(執禮)가 말하기를, ‘사배(四拜)하라.’ 하면, 찬자(贊者)가 전(傳)하여 창(唱)하고, 【무릇 집례(執禮)가 말이 있으면 찬자(贊者)가 모두 전하여 창(唱)한다.】 감찰(監察) 이하의 관원이 모두 네 번 절한다. 이를 마치면, 찬인(贊引)이 감찰(監察)을 인도하여 자리에 나아가고, 여러 집사(執事)들을 인도하여 관세위(盥洗位)로 나아가서, 관세(盥洗)를 끝마치고 각각 자리에 나아간다. 찬인(贊引)이 종묘령(宗廟令)·대축(大祝)·궁위령(宮闈令)을 인도하여 조계(阼階)로부터 올라가서 각실(各室)에 나아가, 신주(神主)를 받들어 나와서 왼쪽에 설치하기를 보통 때와 같이 하고, 내려와서 그전 자리로 돌아간다. 재랑(齋郞)이 작세위(爵洗位)에 나아가서 작(爵)을 씻고, 작(爵)을 닦아 비(篚)에 두고서, 받들어 태계(泰階)에 나아간다. 축사(祝史)가 계상(階上)에서 맞아 취(取)하여 준소(尊所)의 점(坫) 위에 둔다. 알자(謁者)가 영의정을 인도하고, 찬인(贊引)이 독책관(讀冊官)·독보관(讀寶官)·봉책관(奉冊官)·봉보관(奉寶官)·거책안자(擧冊案者)·거보안자(擧寶案者)를 인도하여 들어가서 자리에 나아간다. 집례(執禮)가 말하기를, ‘사배(四拜)하라.’ 하고, 찬자(贊者)가 전(傳)하여 창(唱)하면, 영의정 이하 관원으로서 자리에 있는 자들이 네 번 절한다. 【먼저 절한 사람은 절하지 않는다.】 알자(謁者)가 영의정의 왼쪽에 나아가서 유사(有司)에게 사뢰어, 삼가 갖추어 행사(行事)하기를 청한다. 집례(執禮)가 말하기를, ‘전폐례(奠幣禮)를 행하라.’ 하면, 알자(謁者)가 영의정을 인도하여 관세위(盥洗位)에 나아가서 관세(盥洗)한다. 이를 마치면, 조계(阼階)로부터 올라가서 제1실(第一室)의 신위(神位) 앞에 나아가서 북향하여 서고, 찬(贊)하여 꿇어앉는다. 집사자(執事者) 1인이 향합(香合)을 받들고, 1인이 향로(香爐)를 받들면, 알자(謁者)가 찬(贊)하여 삼상향(三上香)하고, 집사자(執事者)가 향로(香爐)를 안(案)에 드린다. 대축(大祝)이 폐비(幣篚)를 영의정에게 주면, 영의정이 폐백(幣帛)을 잡아 폐백을 드리는데, 폐백을 대축(大祝)에게 주어 안(案)에 드리게 한다. 【무릇 향(香)을 받들고 폐백을 줄 적에는 모두 동쪽에 있어서 서향하고, 향로(香爐)를 드리고 폐백을 드릴 적에는 모두 서쪽에 있어서 동향한다. 작(爵)을 주고 작(爵)을 드릴 적에도 이에 준한다.】 알자(謁者)가 찬(贊)하여 부복(俯伏)하였다가 일어나서 몸을 바로 편다. 영의정을 인도하여 지게문으로 나와서 차례로 각실(各室)에 나아가 상향(上香)하고 폐백을 드리기를 모두 위의 의식과 같이 한다. 이를 마치면, 알자(謁者)가 영의정을 인도하여 지게문으로 나와서 내려와 그전 자리로 돌아간다. 집례(執禮)가 말하기를, ‘작헌례(酌獻禮)를 행(行)하라.’ 하면, 알자(謁者)가 영의정을 인도하여 올라가 제1실(第一室)의 준소(尊所)에 나아가서 서향하여 선다. 집준자(執尊者)가 멱(羃)을 들고 술을 따르면, 집사자(執事者) 2인이 작(爵)으로써 술을 받는다. 알자(謁者)가 영의정을 인도하여 신위(神位) 앞에 나아가서 북향하여 서고, 찬(贊)하여 꿇어앉는다. 집사자(執事者)가 작(爵)을 영의정에게 주면, 영의정이 작(爵)을 잡아 작(爵)을 드리는데, 작(爵)을 집사자(執事者)에게 주어 신위(神位) 앞에 드리게 한다. 집사자(執事者)가 부작(副爵)을 영의정에게 주면, 영의정이 작(爵)을 잡아 작(爵)을 드리는데, 작(爵)을 집사자(執事者)에게 주어 왕후(王后)의 신위(神位) 앞에 드리게 한다. 알자(謁者)가 찬(贊)하여, 부복(俯伏)하였다가 일어나서 몸을 바로 펴고 조금 물러나서 북향하여 꿇어앉는다. 대축(大祝)이 신위(神位)의 오른쪽에 나아가서 동향하여 꿇어앉아 축문(祝文)을 읽는다. 이를 마치면, 알자(謁者)가 찬(贊)하여 부복(俯伏)하였다가 일어나서 몸을 편다. 영의정을 인도하여 지게문으로 나가서 차례로 각실(各室)에 나아가 작헌(酌獻)하기를 모두 위의 의식과 같이 한다. 이를 마치면, 알자(謁者)가 영의정을 인도하여 지게문으로 나와서 내려와 자리로 돌아간다. 알자(謁者)가 영의정을 인도하여 임시로 책보(冊寶)를 두는 안(案)의 남쪽에 나아가서 북향하여 선다. 찬인(贊引)이 봉책관(奉冊官)·봉보관(奉寶官)을 인도하여 모두 책보안(冊寶案)의 앞에 나아가서 서향하여 꿇어앉아 책보(冊寶)를 받들고 일어나서, 조계(阼階)로부터 올라가서 전(殿) 위의 한가운데 욕위(褥位)에 나아가서 【임시에 욕석(褥席)을 전영(前楹) 사이에 설치하는데 북향하게 한다.】 꿇어앉아 둔다. 【책(冊)은 서쪽에 있고, 보(寶)는 동쪽에 있다.】 이를 마치면, 조금 뒤로 물러나서 북향하여 선다. 알자(謁者)가 영의정을 인도하여 올라와 욕위(褥位) 앞에 나아가서 북향하여 꿇어앉고, 독책관(讀冊官)·독보관(讀寶官)이 이를 따른다. 봉책관(奉冊官)이 나아가 꿇어앉아 함(函)을 열고, 책(冊)을 펴면, 독책관(讀冊官)이 나아가서 북향하여 꿇어앉아 책문(冊文)을 읽는다. 이를 마치면, 부복(俯伏)하였다가 일어나서 자리로 다시 돌아간다. 봉책관(奉冊官)이 책(冊)을 함(函)에 도로 두고, 일어나서 조금 물러나서 동향하여 선다. 봉보관(奉寶官)이 나가서 꿇어앉아 녹(盝)을 열고 보(寶)를 들면, 독보관(讀寶官)이 나가서 북향하여 꿇어앉아 보문(寶文)을 읽는다. 이를 마치면, 부복(俯伏)하였다가 일어나서 자리로 다시 돌아간다. 봉보관(奉寶官)이 보(寶)를 도로 녹(盝)에 두고, 녹(盝)을 받들고 모두 내려와서 임시로 두는 안(案)에 둔다. 알자(謁者)가 찬(贊)하여 부복(俯伏)하였다가 일어나서 몸을 편다. 영의정을 인도하여 내려와서 자리로 다시 돌아간다. 대축(大祝)이 들어가서 변(籩)·두(豆)를 거두기를 의식과 같이 한다. 집례(執禮)가 말하기를, ‘사배(四拜)하라.’ 하고, 찬자(贊者)가 전(傳)하여 창(唱)하면, 영의정 이하의 관원으로서 자리에 있는 자가 네 번 절한다. 이를 마치면 알자(謁者)가 영의정을 인도하여 망예위(望瘞位)에 나아간다. 대축(大祝)이 서직반(黍稷飯)과 축폐(祝幣)를 취(取)하여, 서계(西階)로부터 내려와서 구덩이에 둔다. 집례(執禮)가 말하기를, ‘묻어도 가(可)하다.’ 하면, 흙을 반쯤 구덩이에 묻는다. 알자(謁者)가 영의정의 왼쪽에 나가서 예가 끝났음을 사뢰고, 마침내 영의정을 인도하여 나간다. 봉책관(奉冊官)은 책함(冊函)을 받들고, 봉보관(奉寶官)은 보록(寶盝)을 받들고, 거책안자(擧冊案者)·거보안자(擧寶案者)는 각각 안(案)을 들고, 차례로 앞장 서서 동문(東門)으로 나아가 채여(綵輿)에 안치(安置)하고 가는데, 영의정 이하의 관원이 이를 따른다. 인의(引儀)가 종친(宗親)과 문무 백관(文武百官)을 나누어 인도하여 차례로 나간다. 찬인(贊引)이 감찰(監察)과 여러 집사(執事)를 인도하여 계단 사이의 배위(拜位)에 나아간다. 집례(執禮)가 말하기를, ‘사배(四拜)하라.’ 하고, 찬자(贊者)가 전(傳)하여 창(唱)하면, 감찰(監察)과 전사관(典祀官) 이하의 관원이 모두 네 번 절한다. 이를 마치면, 찬인(贊引)이 차례로 인도하여 나간다. 종묘령(宗廟令)·대축(大祝)·궁위령(宮闈令)이 신주(神主)을 들여놓기를 보통 때의 의식과 같이 한다. 집례(執禮)가 알자(謁者)·찬자(贊者)·찬인(贊引)을 거느리고 계단 사이의 배위(拜位)에 나아가서 네 번 절하고 나간다. 종묘령(宗廟令)·전사관(典祀官)이 각각 그 소속 관원을 거느리고, 예찬(禮饌)을 거두고, 지게문을 닫고, 이에 물러간다. 영의정 이하의 관원이 빈전(殯殿)에 나아가서, 영의정이 책보(冊寶)를 받들어 임시로 두는 악차(幄次)에 안치(安置)하고, 【전(前) 1일에 전설사(典設司)에서 악차(幄次)를 빈전(殯殿)의 중문(中門) 밖의 동쪽에 서향하여 설치한다.】 예조 정랑(禮曹正郞)을 남겨서 이를 지키게 한다. 영의정 이하의 관원은 물러나와 본사(本司)로 돌아가서 재숙(齋宿)한다.""","○丙子/命領議政<index num=""0370523_0"" ref=""M_0010797"" sort=""K"" type=""이름"">浚</index>, 奉<index num=""0370524_0"" ref=""M_0047665"" sort=""K"" type=""이름"">世祖</index>諡冊寶, 告<index num=""0370525_0"" sort=""K"" type=""지명"">宗廟</index>。 其儀曰:                            <quotation>前請諡三日, 領議政以下行事執事官, 散齋二日, 宿於正寢, 致齋一日, 宿於本司。 宗親及文武百官, 前一日齋宿本司。 前二日, 工曹判書, 以冊寶各安於彩轝。<annotation type=""원주"">                   <noteContent>【冊寶皆有案。】</noteContent>                 </annotation>詣闕, 承旨傳奉以入。 前一日, 典設司設權置冊寶幄於廬次門外南向,<annotation type=""원주"">                   <noteContent>【設案】</noteContent>                 </annotation>典儀設領議政位於幄南道東北向, 讀冊官、讀寶官、奉冊官、奉寶官、擧冊案者、擧寶案者位於領議政之後近南, 異位重行, 北向東上。 設典儀位於領議政東北西向, 典儀、引儀在南差退。 又典儀、引儀位於領議政西北東向, 俱北上。 典儀設領議政以下門外位於中門外道東, 異位重行, 西向北上。 執禮設權置冊寶案於宗廟西階下東向, 設領議政位於阼階東南西向, 讀冊官、讀寶官、奉冊官、奉寶官、擧冊案者、擧寶案者位於領議政之後近南, 異位重行, 西向北上。 設執禮、謁者、贊者、贊引及監察、典祀官、大祝、祝史、齋郞、宗廟令、宮闈令位, 設宗親及文武百官位, 開瘞坎, 設望瘞位, 竝如常。 忠義衛以常服, 捧香祝,<annotation type=""원주"">                   <noteContent>【親押】</noteContent>                 </annotation>先詣<index num=""0370526_0"" sort=""K"" type=""지명"">宗廟</index>。 其日宗親及文武百官, 徑詣<index num=""0370527_0"" sort=""K"" type=""지명"">宗廟</index>變服, 常服黑角帶。 領議政及讀冊官、讀寶官、奉冊官、奉寶官、擧案者, 以常服黑角帶, 俱集朝堂。 禮曹正郞, 陳綵轝二於中門外, 兵曹正郞, 設細仗於彩轝之南。 引儀引領議政以下皆就門外位。 典儀率引儀, 先入就位, 近侍及忠贊衛, 詣閤外以俟。 引儀引領議政以下入就位。 內侍奉諡冊寶出閤, 跪授近侍, 近侍進跪受。 忠贊衛擧<annotation type=""원주"">                   <noteContent>【每案二人對擧】</noteContent>                 </annotation>進近侍前跪, 近侍以冊寶, 各置於案, 興詣幄, 忠贊衛各擧案從之。 近侍權置冊寶於案, 退立於東南西向。<annotation type=""원주"">                   <noteContent>【忠贊衛立於近侍之後】</noteContent>                 </annotation>典儀唱: ""鞠躬、四拜、興、平身。"" 領議政以下, 鞠躬、四拜、興、平身。 引儀引領議政, 詣幄前。 近侍取諡冊函, 南向跪授領議政, 領議政進跪受。 擧冊案者二人, 對擧案, 進領議政之左跪。 領議政置諡冊函於案, 擧案者對擧退, 稍南東向立。 近侍取諡寶盝, 授領議政, 如上儀。 訖領議政俯伏興平身。 引儀引領議政, 由中道出, 擧冊寶案者, 前行出中門。 領議政以冊寶, 各置綵轝, 細仗前導如常, 詣<index num=""0370528_0"" sort=""K"" type=""지명"">宗廟</index>。 奉冊官奉諡冊函, 奉寶官奉諡寶盝, 擧冊寶案者, 各擧案入, 安於權置案,<annotation type=""원주"">                   <noteContent>【冊在北, 寶在南】</noteContent>                 </annotation>權退, 宮闈令帥其屬, 開室整拂神幄, 鋪筵設几, 如常儀。 宗廟令、典祀官, 各帥其屬, 實饌具。<annotation type=""원주"">                   <noteContent>【饌品如朔望祭, 唯無牲有幣爲異。】</noteContent>                 </annotation>設香爐香合, 奠祝版, 設尊設洗, 竝如常。</quotation>                                         <quotation>前二刻, 執禮帥謁者、贊者、贊引, 入自東門, 先就階間拜位, 北向四拜, 訖就位。 引儀分引宗親及百官, 入就位, 謁者引領議政以下, 俱就東門外位。 前一刻, 贊引引監察、典祀官、大祝、祝史、齋郞、宗廟令、宮闈令, 入就階間拜位, 重行北向西上。 執禮曰: ""四拜。"" 贊者傳唱,<annotation type=""원주"">                   <noteContent>【凡執禮有辭, 贊者皆傳唱】</noteContent>                 </annotation>監察以下, 皆四拜訖。 贊引引監察就位, 引諸執事詣盥洗位, 盥洗訖, 各就位。 贊引引宗廟令、大祝、宮闈令, 升自阼階, 詣各室, 捧出神主, 設於左如常, 降復位。 齋郞詣爵洗位, 洗爵拭爵, 置於篚, 奉詣泰階。 祝史迎取於階上, 置於尊所坫上。 謁者引領議政, 贊引引讀冊官、讀寶官、奉冊官、奉寶官、擧冊案者、擧寶案者, 入就位。 執禮曰: ""四拜。"" 贊者傳唱, 領議政以下在位者四拜。<annotation type=""원주"">                   <noteContent>【先拜者不拜】</noteContent>                 </annotation>謁者進領議政之左, 白有司謹具請行事。 執禮曰: ""行奠幣禮。"" 謁者引領議政, 詣盥洗位, 盥洗訖。 升自阼階, 詣第一室神位前北向立, 贊跪。 執事者一人, 奉香合, 一人奉香爐, 謁者贊三上香, 執事者奠爐于案。 大祝以幣篚授領議政, 領議政執幣獻幣, 以幣授大祝, 奠于案。<annotation type=""원주"">                   <noteContent>【凡奉香授幣, 皆在東西向, 奠爐奠幣, 皆在西東向。 授爵奠爵, 準此。】</noteContent>                 </annotation>謁者贊俯伏興平身, 引領議政出戶, 次詣各室上香, 奠幣竝如上儀訖。 謁者引領議政出戶, 降復位。 執禮曰: ""行爵獻禮。"" 謁者引領議政, 升詣第一室尊所, 西向立。 執尊者擧冪酌酒, 執事者二人以爵受酒。 謁者引領議政, 詣神位前北向立, 贊跪。 執事者以爵授領議政, 領議政執爵獻爵, 以爵授執事者, 奠于神位前。 執事者以副爵授領議政, 領議政執爵獻爵, 以爵授執事者, 奠于王后神位前。 謁者贊俯伏興小退, 北向跪。 大祝進神位之右, 東向跪, 讀祝文訖。 謁者贊俯伏興平身, 引領議政出戶, 次詣各室酌獻, 竝如上儀訖。 謁者引領議政出戶, 降復位。 謁者引領議政, 詣權置冊寶案南, 北向立。 贊引引奉冊官、奉寶官, 俱詣冊寶案前, 西向跪, 奉冊寶興, 由阼階, 升詣殿上當中褥位,<annotation type=""원주"">                   <noteContent>【臨時設褥席前楹間北向。】</noteContent>                 </annotation>跪置。<annotation type=""원주"">                   <noteContent>【冊在西, 寶在東。】</noteContent>                 </annotation>訖少退, 北向立。 謁者引領議政, 升詣褥位前, 北向跪, 讀冊官、讀寶官隨之。 奉冊官進跪, 開函展冊, 讀冊官進北向跪讀冊訖。 俯伏興降復位。 奉冊官以冊還置於函, 興少退, 東向立。 奉寶官進跪, 開盝擧寶, 讀寶官進, 北向跪讀寶訖。 俯伏興降復位。 奉寶官以寶還置於盝, 奉盝興, 俱降置於權置案。 謁者贊俯伏興平身, 引領議政降復位。 大祝入撤籩豆如式。 執禮曰: ""四拜。"" 贊者傳唱, 領議政以下在位者四拜訖。 謁者引領議政, 詣望瘞位。 大祝取黍稷飯祝幣, 降自西階, 置於坎。 執禮曰: ‘可瘞。’ 置土半坎。 謁者進領議政之左, 白禮畢, 遂引領議政將出。 奉冊官奉冊函, 奉寶官奉寶盝, 擧冊寶案者, 各擧案, 以次前行出東門, 安於綵(擧)<annotation type=""교감주"">                   <noteTitle>〔轝〕</noteTitle>                 </annotation>而行, 領議政以下隨之。 引儀分引宗親及文武百官, 以次出。 贊引引監察及諸執事, 就階間拜位。 執禮曰: ""四拜。"" 贊者傳唱, 監察及典祀官以下, 皆四拜訖。 贊引以次引出。 宗廟令、大祝、宮闈令, 納神主如常儀。 執禮率謁者、贊者、贊引, 就階間拜位, 四拜以出。 宗廟令、典祀官, 各帥其屬, 撤饌闔戶乃退。 領議政以下, 詣殯殿, 領議政奉冊寶, 安於權置幄,<annotation type=""원주"">                   <noteContent>【前一日, 典設司設幄次殯殿中門外之東西向。】</noteContent>                 </annotation>留禮曹正郞守之。 領議政以下, 退歸本司齋宿。""</quotation>              "
kha_10012016_004,의숙 공주에게 쌀 50석을 내려 주다,1468-12-16L0, 의숙 공주(懿淑公主) 에게 쌀 50석(石)을 내려 주었다.,"○賜<index num=""0371010_0"" ref=""M_0010629"" sort=""K"" type=""이름"">懿淑公主</index>米五十石。 "
