article_id,title,lunar_date,text_kor,text_han
kla_10101122_002,정부가 백관을 거느리고 상시제를 지내다,1545-01-22L1,정부가 백관을 거느리고 상시제(上諡祭)를 지냈다.,"○政府率百官, 行上諡祭。 "
kla_10101001_002,햇무리가 지다,1545-01-01L0,햇무리가 졌다.,○日暈。 
kla_10105008_002,우부승지 송세형이 사신이 요구한 물건에 대해 아뢰다,1545-05-08L0,"상이 어실(御室)에 들어가 쉬고 있는데, 우부승지 송세형 이 아뢰기를, ""중국 사신이 요구한 물건 【가죽·비단·동은(銅銀)·안마(鞍馬) 및 의류·식기 용품 따위가 이루 셀 수 없이 많았다.】 을 단자(單子)에 써서 친히 가서 바쳤더니, 중국 사신이 그 수량을 가리키며 마음에 매우 부족하게 여기며 말하기를 ‘이 물건들은 모두 모자라니 도로 가져가도록 하라.’ 하고 물리쳐 받지 않으니, 어떻게 해야 하겠습니까?"" 하니, 상이 단자를 들여오라고 명하여 그 물건의 수량을 살피고 나서 송세형 에게 전교하기를, ""이 증급단자(贈給單子)를 보면 모든 물건 중에 수량을 줄인 것이 혹 많기도 하니 마땅히 그 욕심에 차지 않을 것이다. 다시 수량을 더하여 마련하여 주도록 하라. 또, 임시 변통의 말로 사과하여 그의 노여움을 더하지 않게 하는 것이 좋겠다."" 하고, 곧 예조 판서 윤개 를 명소(命召)하여 의논하게 하였다. 윤개 가 곧 의논하여 아뢰기를, ""이제 중국 사신에게 말하기를 ‘조사(詔使)가 여러번 폐방(弊邦)에 오기는 하였으나, 사례감 근시 노공(司禮監近侍老公) 【 곽사(郭使)가 사례감 태감(司禮監太監)이므로 이렇게 말한 것이다.】 은 이전에 온 적이 없었거니와, 고자(孤子)가 비로소 뵐 수 있어 천안(天顔) 404) 을 뵌 듯하니, 분부를 받들려는 마음이 어찌 끝이 있겠는가마는, 폐방은 바다 구석에 치우쳐 있어 나라가 작고 백성이 가난하며 토산물도 적으므로, 대인(大人)을 위하여 힘을 다하여 정성을 나타냈으나 일이 마음과 같이 되지 않았다. 그렇지 않다면 어찌 존교(尊敎)를 기다리겠는가. 본토에서 나는 물건이 아니면 구할 길이 없고 변변치 못한 토산물은 저축된 것이 넉넉하지 못하며 유사(有司)도 점검을 잘못하여 곧 한꺼번에 응하지 못하니, 부끄러움과 두려움을 견딜수 없다. 고자(孤子)가 받은 것이 매우 많고 【진상한 물건이 있기 때문에 이렇게 말한 것이다.】 승지·내시·통사 등도 여러번 존혜(尊惠)를 받았으니, 후의에 매우 감사한다.’ 해야 하겠습니다. 이렇게 임시로 변통하는 말을 하면, 그 마음을 위로하여 기쁘게 할 수가 있을 것입니다."" 하니, 전교하기를, ""의논한 것이 바로 내 뜻에 맞는다."" 하고, 드디어 송세형 을 시켜 다시 단자를 가지고 가서 수량을 더한 것을 보이고 아울러 이 의논대로 말하게 하였더니, 사신이 기뻐하며 말하기를, ""귀국에 바야흐로 일이 많으니 나도 어찌 폐단이 있을 줄 모르겠습니까. 다만 우리 북경에 들어가면 으레 좌우에서 요구하는 것이 있으므로 이렇게 번거롭게 하였는데 잇달아 낱낱이 응하여 주시니 더욱이 감사하여 백배(百拜)합니다."" 하고, 곧 채단(彩緞) 약간을 송세형 에게 주었다. 송세형 이 복명(復命)하고, 뒤이어 아뢰기를, ""중국 사신이 주는 것을 신이 의리상 받을 수 없다는 것을 잘 알아 굳이 사양하였으나 듣지 않았으므로 마지못하여 받아 왔으니, 지극히 황공합니다."" 하니, 전교하기를, ""사람이 정으로 주는 것을 어찌 굳이 물리치겠는가. 이는 해로울 것이 없다."" 하였다.","○上入御室方就歇, 右副承旨<index num=""0854246_0"" ref=""M_0003004"" sort=""K"" type=""이름"">宋世珩</index>啓曰: ""臣以天使求請之物,<annotation type=""원주"">                 <noteContent>【如皮幣、銅銀、鞍馬、服食、器用之類, 不可勝數。】</noteContent>               </annotation>書諸單子, 親往呈之, 則使指點其數, 心甚少之曰: ‘此物箇箇不足, 還可持去。’, 退而不受, 將何以處之?"" 上命入單子, 閱其物數了, 仍傳于<index num=""0854247_0"" ref=""M_0003004"" sort=""K"" type=""이름"">世珩</index>曰: ""觀此贈給單子, 則凡物有減數者或多, 宜未滿其欲也。 更可加數磨鍊以給之。 且設爲權辭而致謝焉, 毋使增彼之怒則幸矣。"" 卽命召禮曹判書<index num=""0854248_0"" ref=""M_0000338"" sort=""K"" type=""이름"">尹漑</index>議之, <index num=""0854249_0"" ref=""M_0000338"" sort=""K"" type=""이름"">漑</index>乃議啓曰: ""今當說于天使曰: ‘詔使雖屢臨弊邦, 而司禮監近侍老公,<annotation type=""원주"">                 <noteContent>【<index num=""0854250_0"" ref=""M_0015068"" sort=""A"" type=""이름"">郭使</index>乃司禮監太監故云。】</noteContent>               </annotation>前此不曾來矣。 孤子始得拜見, 怳拜天顔, 其欲承奉之心, 寧有紀極? 而弊邦僻在海隅, 國小民貧, 地産亦薄, 爲大人竭力表誠, 而事不如心。 不然則何待尊敎? 非本土所産之物, 得之無由, 不腆土産之物, 所儲不敷, 有司亦失於點檢, 未卽一齊答應, 不勝愧懼。 孤子蒙賜甚多,<annotation type=""원주"">                 <noteContent>【有進上物件故云。】</noteContent>               </annotation>承旨、內侍、通事等亦屢蒙尊惠, 深謝厚意。 如是爲之權辭, 則足以慰悅其心。"" 傳曰: ""所議正合予意。"" 遂令<index num=""0854251_0"" ref=""M_0003004"" sort=""K"" type=""이름"">世珩</index>, 更將單子去, 以示其加數, 而幷以此議道之, 則使喜曰: ""貴國方多事, 俺亦豈不知有弊乎? 第以入我皇京, 例有左右之求索, 故如此煩瀆, 而連承一一應惠, 尤謝百拜。"" 卽以彩段若干贈<index num=""0854252_0"" ref=""M_0003004"" sort=""K"" type=""이름"">世珩</index>。 <index num=""0854253_0"" ref=""M_0003004"" sort=""K"" type=""이름"">世珩</index>復命, 追啓曰: ""天使所贈, 臣固知義不可受, 而强辭不聽, 不得已而受來, 至爲惶恐。"" 傳曰: ""人以情與之, 何敢却之? 是無傷也。"" "
kla_10103017_002,햇무리가 지다,1545-03-17L0,햇무리가 지고 양이가 있었다.,"○日暈, 兩珥。 "
kla_10101124_003,간원이 빈과 숙용의 일을 아뢰다,1545-01-24L1,간원이 빈과 숙용이 수반하지 말 것을 아뢰었으나 윤허하지 않았다.,"○諫院啓嬪、淑容勿爲隨班事, 不允。 "
kla_10101006_001,조석전을 지내고 상식을 올리다,1545-01-06L0,상이 조석전(朝夕奠)을 지내고 상식(上食)을 올렸다.,"○庚子/上行朝、夕奠, 上食。 "
kla_10101020_001,조석전을 지내고 상식을 올리다,1545-01-20L0,조석전을 지내고 상식을 올렸다.,"○甲寅/行朝、夕奠, 上食。 "
kla_10101016_001,조석전을 지내고 상식을 올리다,1545-01-16L0,상이 조석전을 지내고 상식을 올렸다.,"○庚戌/上行朝、夕奠, 上食。 "
kla_10101026_001,조석전을 지내고 상식을 올리다,1545-01-26L0,상이 조석전을 지내고 상식을 올렸다.,"○庚申/上行朝、夕奠, 上食。 "
kla_10102009_005,태백이 낮에 나타나다,1545-02-09L0,태백이 주현하였다.,○太白晝見。 
