article_id,title,lunar_date,text_kor,text_han
kxa_11308009_003,성근묵이 상소하여 이양선에 대해 보다 더 단호한 대처를 하도록 하다,1847-08-09L0,"부사직(副司直) 성근묵(成近默) 이 현도(縣道) 편에 상소하였다. 그 대략에 이르기를, ""듣자옵건대, 지난해에 홍주(洪州) 에 온 이양선(異樣船) 033) 이 이미 흉서(凶書)를 보내어 몰래 국경을 넘어온 양인(洋人)으로서 사옥(邪獄) 때에 주살(誅殺)된 자를 우리가 죽였다고 하였다 하니 그 사연은 변명할 것도 못됩니다마는, 우리 나라 사람으로서 적(賊)의 와주(窩主) 034) 가 된 자는 형적(形跡)이 이미 드러나서 하루도 용서할 수 없으므로 정상을 궁극히 핵사(覈査)해야 할 것인데도 조정(朝廷)에서 관대하였던 것은 다만 우리가 해야 할 것을 하고 불치(不治)로 다스린 것이니, 만리 밖에서 밝게 보고 70일 만에 와서 귀화하는 일이 있을 것인데, 어찌하여 적모(賊謀)가 남몰래 점점 더하고 화란(禍亂)을 교결(交結)하여 빚어내어 이번에 고군산(古群山) 에 양선(洋船)이 온 일이 있게 되었습니까? 이것이 과연 표류하여 온 배이겠습니까? 해적(海賊)이겠습니까? 표류하여 온 배로 대우하여 마치 먼데서 온 자처럼 회유한 것이 어찌 반드시 응변(應變)하는 기책(奇策)이 있어서 이른바 심복(心腹)을 드러내고 정실(情實)을 드러내어 본연(本然)의 약한 것을 보인다는 것이 아닐 수 있겠습니까? 적이 온 것에는 반드시 까닭이 있을 것이고 머무르는 데에는 반드시 믿는 것이 있을 것입니다. 사당(邪黨)으로서 와주가 된 자 중에 반드시 그 사람이 있을 것인데, 불문에 붙인다면 고금 천하에 어찌 이런 일이 있겠습니까? 아! 노사(虜使)를 베기를 청한 것과 같이 청할 사람이 오늘날에 어찌 없겠으며, 강홍립(姜弘立) 이 향도(嚮導)한 것과 같은 일을 오늘날에 다시 보겠습니까마는, 양적(洋賊)이 노사와 같지는 않더라도 저 사당은 강홍립 과 비슷하다는 것을 모르는 듯합니다. 우리가 적을 헤아리는 것이 도리어 적이 우리 나라를 엿보는 것만 못한데, 한갓 사술(邪術)에 속고 사적(邪賊)에 깔보이며 오직 요사(妖邪)를 보양(保養)하는 것을 화란을 늦추는 장책(長策)으로 여긴다면, 장차 우리 소중화(小中華)의 온 고장이 함께 멸망하여 요수(妖獸)·괴조(怪鳥)가 되어도 구제할 수 없을 것입니다. 예전부터 융적(戎狄) 의 화(禍)에 어찌 선악을 가릴 만한 것이 있었겠습니까마는, 이 적으로 말하면 방자하게 의리를 말하고 전에 없던 이단을 새로 만들어 성인(聖人)의 도(道)를 위협하니, 이것은 화이(華夷)·인수(人獸)가 갈라지는 큰 요점입니다. 양주(楊朱)  묵적(墨翟) 035) 의 도는 자신이 난신(亂臣)·적자(賊子)가 되는 일이 아니나, 맹자(孟子) 는 말하기를, ‘인의(仁義)가 막히면 짐승을 이끌어 사람을 먹게 한다.’ 하고 또 ‘능히 양주·묵적을 물리치는 자는 성인의 무리이다.’ 하였습니다. 저 사선(使船)이 말[馬]처럼 바다를 마구 다니면 이는 거의 범에 날개가 달린 듯하여 더불어 대적할 자가 없을 듯하나, 요사를 부리고 제 힘을 믿는데도 천하에 적이 없다는 것은 신이 전에 듣지 못한 것입니다. 대개 요(妖)가 덕(德)을 이기지 못하고 사(邪)가 정(正)을 이기지 못하는 것은 천지를 세운 상리(常理)이니, 이제 천지가 무너지고 인류가 다한다면 그만이겠으나, 그렇지 않다면 어찌 요(堯) · 순(舜) · 주공(周孔) 의 도가 해외(海外)의 요사한 적에게 욕을 보게 되는 일이 있겠습니까? 오늘날 성지(聖志)가 근학(勤學)에 있고 성학(聖學)이 주경(主敬)에 있는 것은 의논할 수 없습니다마는, 궐유(闕遺)의 유무는 오직 예념(睿念)의 반성에 달려 있으니, 허물이 있으면 일식(日蝕)·월식(月蝕)처럼 숨기지 않고 고치며 착한 것을 보면 바람·천둥처럼 신속히 옮겨서 성지가 그칠 데를 알고 성학이 매우 밝아 정론(正論)이 크게 행해지고 정기(正氣)가 성장(盛壯)하여 대명(大明)이 중천(中天)하여 만물이 다 보듯이 하신다면 저 음사(陰邪)한 자가 감히 그 사이를 범하겠습니까? 또한 어찌 양학(洋學)이 근심스럽고 사당이 두렵겠습니까?"" 하였는데, 비답하기를, ""이양선이 해마다 오는 것은 매우 놀랍다. 이제 그대의 상소를 보건대, 사(邪)를 물리치는 말이 매우 절실하고 명쾌하니, 비류(匪類)가 들으면 마음을 고치고 자취를 감출 만하다. 나머지 진면(陳勉)한 여러 가지가 수천 마디에 가까운데 나라를 근심하고 임금을 사랑하여 마지않는 뜻을 알 수 있으니, 어찌 마음에 간직하지 않겠는가? 가을의 선선한 기운이 점점 생기니, 그대는 되도록 빨리 조정에 나와 내가 미치지 못하는 것을 도우라. 내가 바야흐로 측석(側席)하여 기다린다."" 하였다.","○副司直<index num=""1931018_0"" ref=""M_0002870"" sort=""K"" type=""이름"">成近默</index>, 從縣道上疏略曰:                            <quotation>伏聞去年<index num=""1931019_0"" sort=""K"" type=""지명"">洪州</index>異樣船, 已有凶書之投, 而以潛越洋人之見誅於邪獄者, 謂我戕殺云爾, 則其辭有不足辨也, 而我人之爲賊窩主者, 形跡已露, 不可一日容貸, 所宜窮覈情節, 而朝廷寬大, 只是爲吾所當爲, 而治之以不治者, 庶有萬里明見, 七旬來格之化矣, 奈之何賊謀之潛滋暗長, 而禍亂之校結醞釀, 以至有今, <index num=""1931020_0"" sort=""K"" type=""지명"">古群山</index>洋船事耶? 此果漂船乎? 海賊乎? 其待之以漂船, 柔之若遠來者, 其必有應變之奇策, 而得非所謂披心腹露情實, 示之以本然之弱者耶? 賊之來也, 必有所以也, 其留也必有所恃也。 邪黨之爲窩主者, 必有其人, 而付之勿問, 則古今天下, 寧有是耶? 噫! 虜使請斬, 其無人於今日乎? <index num=""1931021_0"" ref=""M_0001019"" sort=""K"" type=""이름"">弘立</index>鄕導, 將復見於今日乎? 洋賊雖非虜使之類, 而彼邪黨者, 恐不知爲幾<index num=""1931022_0"" ref=""M_0001019"" sort=""K"" type=""이름"">弘立</index>也。 我之料賊, 反不如賊之覘國, 而若徒見誑於邪術, 見陵於邪賊, 惟以保養妖邪, 爲緩禍之長策, 則將見我小中華一域, 淪胥爲妖獸怪鳥而莫之救也。 從古戎狄之禍, 豈有善惡之可辨, 而至於此賊, 則肆然稱義理, 俑厥無前之異端, 以威脅聖人之道, 此華夷、人獸之大關棙也。 <index num=""1931023_0"" sort=""K"" type=""이름"">楊</index>、<index num=""1931024_0"" sort=""K"" type=""이름"">墨</index>之道, 非身親爲亂臣賊子之事也, <index num=""1931025_0"" ref=""M_0012756"" sort=""A"" sort2=""魯"" type=""이름"">孟子</index>曰, ‘仁義充塞, 率獸而食人’, 又曰, ‘能言拒<index num=""1931026_0"" sort=""K"" type=""이름"">楊</index>、<index num=""1931027_0"" sort=""K"" type=""이름"">墨</index>者, 聖人之徒也。’ 彼之使船, 如馬橫行大海, 則此殆虎而翼者, 疑若無與爲敵然, 售妖負力而無敵於天下云者, 臣未之前聞也。 蓋妖不勝德, 邪不犯正, 卽建天地之常理也, 今若天地壞而人類盡則已, 苟非然者, 安有以<index num=""1931028_0"" ref=""M_0033589"" sort=""K"" type=""이름"">堯</index>、<index num=""1931029_0"" ref=""M_0033585"" sort=""K"" type=""이름"">舜</index>、<index num=""1931030_0"" sort=""K"" type=""이름"">周</index>、<index num=""1931031_0"" sort=""K"" type=""이름"">孔</index>之道, 爲海外妖邪之賊所僇辱也耶? 今日聖志之在勤學, 聖學之在主敬, 不可得以議也, 而至於闕遺之有無, 惟在乎睿念之反省, 過則如日月之更, 善則如風雷之遷, 若聖志知止, 聖學克明, 正論大行, 正氣盛壯, 如大明中天, 萬物咸覩, 則彼陰邪者, 敢干於其間乎? 尙何洋學之可憂, 邪黨之可畏也哉?</quotation>                          批曰: ""異船之課歲來到, 甚是駭訝。 今見爾疏, 闢邪之論, 痛切明快, 若使匪類聞之, 足可以革心而歛跡。 餘他陳勉諸條, 殆近屢千言, 有以知憂愛惓惓之意, 曷不服膺? 秋涼漸生, 爾其從近簉朝, 補予不逮, 予方側席而待之。"" "
kxa_10101028_001,경현당에서 권강하다,1835-01-28L0, 경현당 에서 권강하였다.,"○戊子/勸講于<index num=""1923630_0"" sort=""K"" type=""지명"">景賢堂</index>。 "
kxa_11506007_002,소렴하다,1849-06-07L0,소렴(小斂)하였다.,○小斂。 
kxa_11310004_001,구일제를 설행하다,1847-10-04L0,반궁(泮宮)에서 구일제(九日製) 046) 를 설행(設行)하였다.,○庚戌/設九日製于泮宮。 
kxa_10808023_001,칠석제를 반궁에서 베풀다,1842-08-23L0,칠석제(七夕製)를 반궁(泮宮)에서 베풀었다.,○己亥/設七夕製于泮宮。 
kxa_10209017_001,희정당에서 권강하다,1836-09-17L0, 희정당 에서 권강하였다.,"○丁酉/勸講于<index num=""1924746_0"" sort=""K"" type=""지명"">熙政堂</index>。 "
kxa_10310020_002,조병헌을 형조 판서로 삼다,1837-10-20L0, 조병현(趙秉鉉) 을 형조 판서(刑曹判書)로 삼았다.,"○以<index num=""1925416_0"" ref=""M_0006050"" sort=""K"" type=""이름"">趙秉鉉</index>爲刑曹判書。 "
kxa_10501022_001,희정당에서 진강하다,1839-01-22L0, 희정당(熙政堂) 에서 진강(進講)하였다,"○己未/進講于<index num=""1926162_0"" sort=""K"" type=""지명"">熙政堂</index>。 "
kxa_10508015_001,희정당에서 진강하다,1839-08-15L0, 희정당 에서 진강하였다.,"○戊寅/進講于<index num=""1926595_0"" sort=""K"" type=""지명"">熙政堂</index>。 "
kxa_10510023_001,희정당에서 주강하다,1839-10-23L0, 희정당 에서 주강하였다.,"○乙酉/晝講于<index num=""1926697_0"" sort=""K"" type=""지명"">熙政堂</index>。 "
