article_id,title,lunar_date,text_kor,text_han
kya_10212003_001,진전에 나아가 천신을 행하다,1851-12-03L0,진전(眞殿)에 나아가 천신(薦新)을 행하였다.,"○甲申/詣眞殿, 行薦新。 "
kya_11008003_002,영흥 등의 고을에 휼전을 내리다,1859-08-03L0, 영흥(永興) 등 고을의 표몰된 가호에 휼전(恤典)을 내렸다.,"○給<index num=""1940735_0"" sort=""K"" type=""지명"">永興</index>等邑漂戶, 恤典。 "
kya_10310019_002,소대하다,1852-10-19L0,소대하였다.,○召對。 
kya_10011024_001,진강하다,1849-11-24L0,진강하였다.,○丁巳/進講。 
kya_10012001_003,진강하다,1849-12-01L0,진강(進講)하였다.,○進講。 
kya_10205025_004,주강하다,1851-05-25L0,주강하였다.,○晝講。 
kya_10202016_002,별강하다,1851-02-16L0,별강(別講)하였다.,○別講。 
kya_10109017_002,진강하다,1850-09-17L0,진강하였다.,○進講。 
kya_10410002_001,일강하다,1853-10-02L0,일강하였다.,○癸酉/日講。 
kya_10801026_001,소대하다,1857-01-26L0,소대하였다.,○己卯/召對。 
kya_11112013_001,소대하다,1860-12-13L0,소대하였다.,○壬申/召對。 
kya_10310020_001,일강하다,1852-10-20L0,일강하였다.,○丁酉/日講。 
kya_10312014_001,일강하다,1852-12-14L0,일강하였다.,○己丑/日講。 
kya_10312005_001,일강하다,1852-12-05L0,일강(日講)하였다.,○庚辰/日講。 
kya_10410027_003,추국하다,1853-10-27L0,추국(推鞫)하였다.,○推鞫爲之。 
kya_10505001_004,일강하다,1854-05-01L0,일강하였다.,○日講。 
kya_10509007_001,소대하다,1854-09-07L0,소대(召對)하였다.,○癸酉/召對。 
kya_10009022_002,소대하다,1849-09-22L0,소대하였다.,○召對。 
kya_10502023_001,일강하다,1854-02-23L0,일강하였다.,○壬辰/日講。 
kya_10102023_001,진강하다,1850-02-23L0,진강하였다.,○丙戌/進講。 
kya_10107008_001,소대하다,1850-07-08L0,소대하였다.,○戊戌/召對。 
kya_10008009_002,별강하다,1849-08-09L0,별강하였다.,○別講。 
kya_10012005_002,소대하다,1849-12-05L0,소대하였다.,○召對。 
kya_10205002_001,주강하다,1851-05-02L0,주강하였다.,○戊子/晝講。 
kya_10212001_002,주강하다,1851-12-01L0,주강하였다.,○晝講。 
kya_10309028_001,일강하다,1852-09-28L0,일강하였다.,○乙亥/日講。 
kya_10311018_002,소대하다,1852-11-18L0,소대하였다.,○召對。 
kya_10312018_001,일강하다,1852-12-18L0,일강하였다.,○癸巳/日講。 
kya_10802002_001,소대하다,1857-02-02L0,소대하였다.,○甲申/召對。 
kya_11311025_001,일강하다,1862-11-25L0,일강하였다.,○癸酉/日講。 
kya_10908018_002,소대하다,1858-08-18L0,소대(召對)하였다.,○召對。 
kya_11401027_001,일강하다,1863-01-27L0,일강(日講)하였다.,○甲戌/日講。 
kya_10904009_004,소대하다,1858-04-09L0,소대(召對)하였다.,○召對。 
kya_10108010_001,소대하다,1850-08-10L0,소대하였다.,○己巳/召對。 
kya_10011011_001,효정전에 나아가 졸곡제를 행하다,1849-11-11L0, 효정전 에 나아가 졸곡제(卒哭祭)를 행하였다.,"○甲辰/詣<index num=""1933038_0"" sort=""K"" type=""지명"">孝定殿</index>, 行卒哭祭。 "
kya_10105017_001,김보근을 형조 판서로 삼다,1850-05-17L0, 김보근(金輔根) 을 형조 판서로 삼았다.,"○戊申/以<index num=""1933620_0"" ref=""M_0001558"" sort=""K"" type=""이름"">金輔根</index>爲刑曹判書。 "
kya_10201029_003,정기원을 충청도 병마 절도사로 삼다,1851-01-29L0, 정기원(鄭岐源) 을 충청도 병마 절도사(忠淸道兵馬節度使)로 삼았다.,"○以<index num=""1933943_0"" ref=""M_0005746"" sort=""K"" type=""이름"">鄭岐源</index>爲<index num=""1933944_0"" sort=""K"" type=""지명"">忠淸道</index>兵馬節度使。 "
kya_10209009_001,주강하다,1851-09-09L0,주강하였다.,○辛酉/晝講。 
kya_10209028_001,인정전에 나아가 하례를 받고 사면령을 내리다,1851-09-28L0, 인정전 에 나아가 하례(賀禮)를 받고 반사(頒赦)하였다.,"○庚辰/御<index num=""1934989_0"" sort=""K"" type=""지명"">仁政殿</index>, 受賀頒赦。 "
kya_10501019_002,박봉흠을 사간원 대사간으로 삼다,1854-01-19L0," 박봉흠(朴鳳欽) 을 사간원 대사간(司諫院大司諫)으로 삼았으니, 중비(中批)이었다.","○以<index num=""1936409_0"" ref=""M_0026697"" sort=""K"" type=""이름"">朴鳳欽</index>爲司諫院大司諫, 中批也。 "
kya_10701001_001,진전에 나아가 전배하다,1856-01-01L0,임금이 진전(眞殿)에 나아가 전배(展拜)하였다.,○己未/詣眞殿展拜。 
kya_10903028_001,전 경상 감사 조병준을 소견하다,1858-03-28L0,전 경상 감사(慶尙監司) 조병준(趙秉駿) 을 소견(召見)하였다.,"○甲辰/召見前<index num=""1939859_0"" sort=""K"" type=""지명"">慶尙</index>監司<index num=""1939860_0"" ref=""M_0006043"" sort=""K"" type=""이름"">趙秉駿</index>。 "
kya_11210005_001,천둥이 있다,1861-10-05L0,천둥이 있었다.,○庚申/雷。 
kya_11106023_001,김보근을 병조 판서로 삼다,1860-06-23L0, 김보근(金輔根) 을 병조 판서로 삼았다.,"○乙酉/以<index num=""1941297_0"" ref=""M_0001558"" sort=""K"" type=""이름"">金輔根</index>爲兵曹判書。 "
kya_11306018_001,진전에 나아가 작헌례를 행하다,1862-06-18L0,"진전(眞殿)에 나아가 작헌례(酌獻禮)를 거행했는데, 순조(純祖) 의 탄신(誕辰)이기 때문이었다.","○己巳/詣眞殿, 行酌獻禮, 以<index num=""1942752_0"" ref=""M_0062679"" sort=""K"" type=""이름"">純廟</index>誕辰也。 "
kya_11403020_002,박도빈을 이조 참의로 삼다,1863-03-20L0, 박도빈(朴道彬) 을 이조 참의로 삼았다.,"○以<index num=""1943457_0"" ref=""M_0026766"" sort=""K"" type=""이름"">朴道彬</index>爲吏曹參議。 "
kya_10410005_003,소대하다,1853-10-05L0,소대하였다.,○召對。 
