id,type,source,target,date,weight
0,Directed,김세민,민심언,1453-10-30 00:00:00,1
1,Directed,사관,박하,1453-11-17 00:00:00,1
2,Directed,이계전,최항,1453-11-11 00:00:00,1
3,Directed,박중림,태조,1453-10-14 00:00:00,1
4,Directed,단종,홍순손,1453-11-19 00:00:00,2
5,Directed,이승윤,이승로,1453-10-05 00:00:00,1
6,Directed,김황,정척,1453-10-05 00:00:00,1
7,Directed,정자제,박하,1453-10-10 00:00:00,1
8,Directed,단종,의정부,1453-11-06 00:00:00,7
9,Directed,단종,권자신,1453-11-18 00:00:00,2
10,Directed,안평 대군,조충손,1453-11-25 00:00:00,1
11,Directed,의금부,조극관,1453-11-13 00:00:00,1
12,Directed,조번,이현로,1453-10-05 00:00:00,1
13,Directed,이개,안완경,1453-11-28 00:00:00,1
14,Directed,단종,이세문,1453-11-11 00:00:00,1
15,Directed,한확,세조,1453-11-27 00:00:00,2
16,Directed,세조,최항,1453-11-14 00:00:00,2
17,Directed,사관,최양선,1453-11-24 00:00:00,1
18,Directed,이승손,윤탁,1453-10-05 00:00:00,1
19,Directed,이승윤,이의산,1453-10-05 00:00:00,1
20,Directed,권남,유수,1453-10-30 00:00:00,1
21,Directed,박하,강희안,1453-10-10 00:00:00,1
22,Directed,단종,승정원,1453-10-28 00:00:00,4
23,Directed,단종,안초,1453-10-26 00:00:00,1
24,Directed,권준,이계린,1453-11-15 00:00:00,1
25,Directed,조번,김영전,1453-10-05 00:00:00,1
26,Directed,세조,이명민,1453-11-10 00:00:00,3
27,Directed,이선문,이징옥,1453-11-25 00:00:00,3
28,Directed,홍승,홍적,1453-11-07 00:00:00,1
29,Directed,유쟁,김승규,1453-11-13 00:00:00,1
30,Directed,김종순,각돈,1453-10-30 00:00:00,1
31,Directed,최항,권자신,1453-11-11 00:00:00,1
32,Directed,한확,안평 대군,1453-11-17 00:00:00,4
33,Directed,의정부,강곤,1453-11-18 00:00:00,1
34,Directed,승정원,단종,1453-10-16 00:00:00,2
35,Directed,단종,한서구,1453-11-15 00:00:00,1
36,Directed,권준,정효강,1453-11-13 00:00:00,1
37,Directed,이언,김문기,1453-11-24 00:00:00,1
38,Directed,단종,박원형,1453-11-18 00:00:00,2
39,Directed,세조,안평 대군,1453-11-10 00:00:00,8
40,Directed,단종,박호문,1453-11-26 00:00:00,1
41,Directed,민발,세조,1453-11-10 00:00:00,1
42,Directed,단종,이언,1453-11-22 00:00:00,1
43,Directed,문득겸,단종,1453-11-08 00:00:00,1
44,Directed,신자준,신개,1453-11-02 00:00:00,1
45,Directed,김문기,최항,1453-11-13 00:00:00,1
46,Directed,이계린,정인지,1453-11-25 00:00:00,1
47,Directed,신숙주,정인지,1453-11-25 00:00:00,1
48,Directed,김구경,김정,1453-10-05 00:00:00,1
49,Directed,최항,박중손,1453-11-25 00:00:00,1
50,Directed,권징,강폭,1453-10-20 00:00:00,1
51,Directed,김종순,박건순,1453-11-27 00:00:00,2
52,Directed,세조,천로,1453-11-14 00:00:00,1
53,Directed,이계린,이계전,1453-11-27 00:00:00,1
54,Directed,허후,정인지,1453-11-11 00:00:00,1
55,Directed,세조,최항,1453-11-10 00:00:00,2
56,Directed,의정부,최항,1453-11-18 00:00:00,1
57,Directed,이계린,이사철,1453-11-25 00:00:00,1
58,Directed,한명회,양정,1453-10-26 00:00:00,1
