index,id,label,group
0,성삼문,Sung Sammoon,4
2,유응부,Yoo Eungboo,3
3,이개,Lee Gae,3
4,하위지,Ha Weji,3
7,권맹손,Kwuan Maengson,3
8,김황,Kim Hwang,3
9,노숙동,No Sookdong,3
10,박중림,Park Joongrim,3
11,신자수,Shin Jasoo,3
12,정척,Jeong Cheok,3
13,김문기,Kim Moonki,3
14,박팽년,Bak Paengnyeon,3
15,정창손,Jung Changson,3
16,박중손,Park Joongson,4
17,김종서,Kim Jongseo,1
18,이승손,Lee Seungson,3
19,윤탁,Yun Tak,3
20,김성원,Kim Sungwon,3
21,김정,Kim Jeong,1
22,김구경,Kim Gukyung,3
23,이현로,Lee Hyunro,1
24,임원준,Im Wonjun,2
25,정영통,Jung Yeongtong,2
26,김영원,Kim Youngwon,2
27,김영전,Kim Youngjeon,2
28,조번,Jo Beon,1
29,조완규,Cho Wankyu,1
30,박하,Park Ha,1
31,이의산,Lee Euisan,1
32,이승윤,Lee Seungyoon,1
33,이승로,Lee Seungro,2
34,사관,Sa Gwan,3
35,황보인,Hwangbo In,1
36,정인지,Jung Inji,4
37,조극관,Joe Geukkwan,1
38,한명회,Han Myunghoi,4
39,이명민,Lee Myungmin,1
41,민신,Min Shin,1
42,승정원,Seung Jungwon,3
44,영해군,Young Haegun,3
45,주,Ju ,3
46,조서안,Cho Seoan,3
47,이몽가,Lee Mongga,4
48,권남,Gwon Nam,4
49,정자제,Jung Jaje,3
50,정자양,Jung Jayang,2
51,안완경,An Wankyung,1
52,노회신,No Hoisin,2
53,강희안,Kang Heean,3
54,이축,Lee Chuk,2
55,김개,Kim Gae,3
56,윤삼산,Yoon Samsan,3
57,이언,Lee Un,3
58,신자승,Shin Jaseung,3
59,박건순,Park Gunsoon,3
60,박금손,Park Geumson,1
61,우효강,Woo Hyokang,3
62,김계희,Kim Gyehee,3
63,신자형,Shin Jahyung,3
64,박호문,Park Homoon,3
65,사헌부,Sa Heonboo,3
66,허후,Heo Hu,1
67,맹자,Maeng Cha,3
68,태조,Tae Cho,3
70,문종,Mun Chong,3
71,윤사로,Yoon Saro,3
72,이귀,Lee Gui,3
73,나홍서,Na Hongseo,3
75,민심언,Min Simeon,3
76,민형,Min Hyoung,3
77,민충원,Min Chungwon,3
78,김종순,Kim Jongsoon,3
79,강폭,Gang Pok,3
80,신자교,Shin Jakyo,3
81,윤필상,Yoon Pilsang,3
82,권징,Gwon Jing,3
83,신의경,Shin Euikyung,3
84,권제,Kwon Jae,3
85,정윤화,Jung Yoonhwa,3
86,유경로,Yoo Kyungro,3
87,김제남,Kim Jenam,3
88,이흥덕,Lee Heungduk,3
89,윤봉,Yun Bong,3
90,이예장,Lee Yejang,4
91,구신충,Gu Sinchung,3
92,임중경,Im Joongkyung,3
93,최윤덕,Choi Yoonduk,3
94,최운해,Choi Woonhae,3
95,태종,Tae Chong,3
96,평망고,Pyeong Manggo,3
97,유정현,Yoo Junghyun,3
99,계수,Gye Su,3
100,윤처공,You Cheogong,1
101,홍달손,Hong Dalson,4
102,양정,Yang Jeong,4
103,유수,U Su,4
104,유하,Yu Ha,4
105,김연,Kim Youn,2
106,한숭,Han Sung,1
107,이양,Lee Yang,1
108,이사철,Lee Sachul,4
109,한확,Han Hwak,4
110,최치원,Choi Chiwon,3
111,안초,Ahn Cho,3
112,조정서,Cho Jungseo,3
113,김귀홍,Kim Guihong,3
114,노정,No Jeong,3
115,예조,Ye Cho,3
116,박미,Park Mee,3
117,박건,Park Geon,3
118,이번,Lee Beon,3
119,이효경,Lee Hyokyung,3
120,설,Sul ,3
121,이군생,Lee Gunsaeng,3
122,김한,Kim Han,3
123,권담,Gwon Dam,3
40,세조,Sejo,4
74,의금부,Uigeumbu,3
5,안평 대군,Anpyeong,1
124,황보공,Hwangbo Kong,3
125,황인헌,Hwang Inheon,3
126,김귀흥,Kim Guiheung,3
128,조근,Jo Geun,3
129,이영유,Lee Youngyu,3
130,박종우,Park Jongwoo,4
131,민건,Min Geon,3
132,정분,Jeong Bun,1
133,이징석,Lee Jingsuck,2
134,고요,Go Yo,3
135,기,Gi ,3
136,공자,Kong Ja,3
137,김형손,Kim Hyungson,3
138,조숙생,Cho Sooksaeng,3
139,유강,Yu Kang,3
140,이종목,Lee Jongmok,3
141,지정,Ji Jeong,1
142,최숙손,Choi Sookson,3
143,황보석,Hwangbo Suk,1
144,남윤,Nam Yun,3
145,전균,Jeon Gyun,4
146,신개,Sin Gae,3
147,신자준,Shin Jajun,3
148,김승규,Kim Seungkyu,1
149,남지,Nam Jee,3
150,이계린,Lee Gyerin,3
151,이계전,Lee Gyejeon,4
152,정양,Jeong Yang,3
154,최귀인,Choi Guiin,3
155,한남군,Han Namgun,3
157,함우치,Ham Woochi,3
158,유자황,Yoo Jahwang,4
159,김용,Kim Young,3
160,안중후,An Joonghoo,3
161,임숙,Lim Sook,3
162,김문현,Kim Moonhyun,3
163,신돈,Sin Don,3
164,이춘부,Lee Chunboo,3
165,김부필,Kim Boopil,3
166,김사청,Kim Sachung,3
167,김소남,Kim Sonam,3
168,김약회,Kim Yakhoi,3
169,사간원,Sa Ganwon,3
171,홍옥봉,Hong Okbong,2
172,홍구성,Hong Gusung,2
173,홍약,Hong Yak,2
174,홍승,Hong Sung,2
175,홍적,Hong Jeok,2
176,최자탑,Choe Jatap,3
177,문득겸,Moon Deukkyum,3
178,강곤,Kang Kon,4
179,홍윤성,Hong Yoonsung,4
180,임자번,Im Chabeon,4
181,안경손,An Kyungson,4
182,홍순로,Hong Soonro,4
183,홍귀동,Hong Guidong,3
184,민발,Min Bal,3
185,곽연성,Kwak Yeonsung,4
186,송석손,Song Seokson,3
187,유형,Yu Hyung,2
189,권언,Kwon Un,4
190,권경,Gwon Kyung,4
191,한서구,Han Seogu,4
192,한명진,Han Myungjin,4
193,홍순손,Hong Soonson,4
194,유서,Yu Seo,4
195,최항,Choe Hang,4
196,원구,Won Goo,1
197,이징옥,Lee Jingok,1
198,이경유,Lee Kyungyu,3
199,조수량,Cho Sooryang,1
200,김효성,Kim Hyosung,4
201,김처의,Kim Cheoeui,4
