bangmok_id,sillok_id
G002+AKS-KHF_12AC15ACB8FFFFD1504X0,M_0000002
G002+AKS-KHF_12AC15AD00FFFFU9999X0,M_0000004
G002+AKS-KHF_12AC15B85CFFFFB1809X0,M_0000005
G002+AKS-KHF_12AC15BC15FFFFB1690X0,M_0000006
G002+AKS-KHF_12AC15BC31FFFFB1690X0,M_0000007
G002+AKS-KHF_12AC15BCF5FFFFU9999X0,M_0000008
G002+AKS-KHF_12AC15BE48FFFFB1745X0,M_0000009
G002+AKS-KHF_12AC15CC38FFFFU9999X0,M_0000010
G002+AKS-KHF_12AC15C11CFFFFB1538X0,M_0000011
G002+AKS-KHF_12AC15C120FFFFB1645X0,M_0000013
G002+AKS-KHF_12AC15C12CFFFFB1516X0,M_0000014
G002+AKS-KHF_12AC15C2E0FFFFB1543X0,M_0000017
G002+AKS-KHF_12AC15C5F0FFFFB1552X0,M_0000019
G002+AKS-KHF_12AC15C628FFFFB1496X0,M_0000020
G002+AKS-KHF_12AC15C6B1FFFFB1511X0,M_0000021
G002+AKS-KHF_12AC15C6B1FFFFB1558X0,M_0000022
G002+AKS-KHF_12AC15C6D0FFFFB1717X0,M_0000024
G002+AKS-KHF_12AC15C6D0FFFFU9999X0,M_0000025
G002+AKS-KHF_12AC15C704FFFFU9999X0,M_0000026
G002+AKS-KHF_12AC15C720FFFFB1597X0,M_0000027
G002+AKS-KHF_12AC15C720FFFFB1722X0,M_0000029
G002+AKS-KHF_12AC15C724FFFFB1711X0,M_0000030
G002+AKS-KHF_12AC15C775FFFFB1504X0,M_0000031
G002+AKS-KHF_12AC15C778FFFFB1729X0,M_0000034
G002+AKS-KHF_12AC15C808FFFFB1542X0,M_0000037
G002+AKS-KHF_12AC15C9C4FFFFU9999X0,M_0000042
G002+AKS-KHF_12AC15C9D5FFFFB1466X0,M_0000043
G002+AKS-KHF_12AC15CC2CFFFFB1557X0,M_0000044
G002+AKS-KHF_12AC15CCA8FFFFB1559X0,M_0000045
G002+AKS-KHF_12AC15CE68FFFFB1732X0,M_0000046
G002+AKS-KHF_12AC15D0C1FFFFB1833X0,M_0000047
G002+AKS-KHF_12AC15D56DFFFFB1567X0,M_0000049
G002+AKS-KHF_12AC15D56DFFFFB1702X0,M_0000050
G002+AKS-KHF_12AC15D604FFFFB1486X0,M_0000051
G002+AKS-KHF_12AC15D604FFFFB1650X0,M_0000052
G002+AKS-KHF_12AC15D615FFFFB1451X0,M_0000053
G002+AKS-KHF_12AC15D638FFFFB1605X0,M_0000054
G002+AKS-KHF_12AC15D63CFFFFB1464X0,M_0000055
G002+AKS-KHF_12AC15D64DFFFFU9999X0,M_0000056
G002+AKS-KHF_12AC15D754FFFFB1739X0,M_0000058
G002+AKS-KHF_12AC15D76CFFFFU9999X0,M_0000059
G002+AKS-KHF_12ACBDC12CFFFFB1562X0,M_0000061
G002+AKS-KHF_12ACBDC900FFFFD1489X0,M_0000064
